 custid |    cname    |   odate    
--------+-------------+------------
     71 | Miranda     | 2016-09-08
     50 | Chuck       | 2016-06-12
     57 | Shirley     | 2016-02-03
     96 | Leisha      | 2015-12-17
     56 | Timika      | 2016-06-09
      8 | Stanley     | 2015-12-29
     42 | Richard     | 2016-07-25
     49 | Robert      | 2015-06-19
     20 | Albert      | 2015-06-14
     16 | Gerald      | 2015-05-12
     87 | Shawn       | 2016-09-09
     31 | Gayla       | 2016-07-11
     53 | Brian       | 2016-05-10
     58 | Jospeh      | 2016-02-19
     84 | Elias       | 2016-01-24
     82 | Ned         | 2016-06-11
     33 | Helen       | 2016-07-01
     52 | Grace       | 2016-08-03
     68 | Doreen      | 2016-07-29
     85 | Joseph      | 2015-03-19
      4 | Otto        | 2015-03-12
    100 | Regena      | 2015-07-14
     75 | Melissa     | 2015-11-03
     32 | Alvaro      | 2016-09-16
     48 | Xuan        | 2016-08-02
     65 | Susanna     | 2016-09-27
     74 | Stormy      | 2015-11-27
     24 | Marchelle   | 2016-08-16
     39 | Christal    | 2015-11-26
     80 | Marth       | 2016-09-10
      6 | Terresa     | 2016-06-20
     66 | Virgilio    | 2016-03-15
     91 | Eleonor     | 2016-05-08
     41 | Arnita      | 2016-05-01
     54 | Sandra      | 2016-07-26
     10 | Gabriel     | 2016-05-06
      3 | Cecil       | 2015-06-13
     97 | Guadalupe   | 2015-04-29
     28 | Hermelinda  | 2016-06-24
     64 | Henriette   | 2016-06-02
     29 | Crystal     | 2016-03-17
     15 | Ollie       | 2016-09-28
     67 | Walton      | 2016-06-20
     45 | Delores     | 2015-10-17
     11 | Rocky       | 2016-07-18
     81 | Daniell     | 2016-08-13
     37 | Kayleigh    | 2016-08-10
     94 | Jonell      | 2015-12-02
     18 | Raymon      | 2016-09-07
     93 | Brittney    | 2016-09-20
     13 | Everett     | 2016-05-18
     25 | Martine     | 2015-11-02
     83 | James       | 2016-09-16
     88 | Wilford     | 2016-08-30
      5 | Christopher | 2016-04-24
     35 | Bobbie      | 2016-03-22
     99 | Chang       | 2016-09-16
      2 | Thomas      | 2016-03-24
     76 | Shu         | 2016-07-23
     61 | Audrey      | 2015-07-20
     72 | Mauro       | 2016-06-05
     90 | Janet       | 2016-04-15
     34 | Regina      | 2016-01-11
     40 | Sabina      | 2015-05-29
     27 | Rod         | 2016-05-30
     69 | Brittney    | 2016-07-14
     19 | Essie       | 2016-05-25
     23 | Maynard     | 2015-03-23
     70 | Nieves      | 2016-05-03
      7 | Diedre      | 2016-08-24
     44 | Maurine     | 2016-05-16
     78 | Wynell      | 2016-06-25
      9 | Maya        | 2015-12-02
     22 | Terese      | 2016-03-25
     62 | Michale     | 2015-09-28
     43 | Keshia      | 2016-09-23
     26 | Fredrick    | 2016-04-01
     21 | My          | 2016-08-31
     55 | Florinda    | 2016-04-21
     47 | Randolph    | 2016-06-21
     92 | Erwin       | 2015-06-30
     46 | Vito        | 2015-11-18
     14 | Quentin     | 2016-08-04
     17 | Tamatha     | 2016-05-27
     60 | Marian      | 2016-06-25
     12 | Vernie      | 2016-06-03
     86 | Tressa      | 2016-07-03
     30 | Tonya       | 2015-01-11
     77 | Angella     | 2015-10-24
     63 | Corey       | 2016-06-06
     89 | Akiko       | 2016-07-18
     59 | Christia    | 2016-04-12
     79 | Harlan      | 2016-08-26
     73 | Anthony     | 2016-02-25
      1 | Homer       | 2016-07-22
     95 | Benjamin    | 2016-09-13
     38 | Donny       | 2016-04-30
     51 | Sylvia      | 2016-02-26
(98 rows)

